City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
254,Kutum,SD,2021-09-22 20:18:15,14.2,24.6667,83.53,34,84,10.67
255,Koungou,YT,2021-09-22 20:18:15,-12.7336,45.2042,76.71,78,0,11.5
256,Sitka,US,2021-09-22 20:18:15,57.0531,-135.33,51.69,58,75,5.75
257,Nombre De Dios,MX,2021-09-22 20:18:16,23.85,-104.2333,72.95,60,88,8.5
258,Port Elizabeth,ZA,2021-09-22 20:18:16,-33.918,25.5701,61.09,88,40,14.97
259,Bilma,NE,2021-09-22 20:18:16,18.6853,12.9164,92.88,11,4,5.84
260,Kovdor,RU,2021-09-22 20:18:17,67.5662,30.4758,38.98,67,100,11.16
261,Pangody,RU,2021-09-22 20:18:17,65.85,74.4859,34.74,97,100,11.61
262,Vila Velha,BR,2021-09-22 20:13:18,-20.3297,-40.2925,71.55,56,75,18.41
263,Yangjiang,CN,2021-09-22 20:18:17,21.85,111.9667,78.1,90,97,5.01
264,Shelburne,CA,2021-09-22 20:18:18,44.0787,-80.2041,54.05,97,100,17.78
265,Pyshchug,RU,2021-09-22 20:18:18,58.8873,45.7134,43.32,85,100,8.72
266,San Cristobal,VE,2021-09-22 20:16:12,7.7669,-72.225,84.38,47,69,6.06
267,Chestermere,CA,2021-09-22 20:15:05,51.0334,-113.8187,68.18,40,100,8.52
268,Tomatlan,MX,2021-09-22 20:18:18,19.9333,-105.25,87.6,67,100,6.46
269,Noumea,NC,2021-09-22 20:18:19,-22.2763,166.4572,64.38,79,98,9.6
270,Auki,SB,2021-09-22 20:18:19,-8.7676,160.7034,77.27,83,94,3.78
271,Carahue,CL,2021-09-22 20:18:19,-38.7,-73.1667,59.2,58,93,4.61
272,Vilhena,BR,2021-09-22 20:18:19,-12.7406,-60.1458,99.86,15,5,5.5
273,Tangshan,CN,2021-09-22 20:18:20,39.6333,118.1833,63.43,74,100,6.02
274,Terekli-Mekteb,RU,2021-09-22 20:18:20,44.1671,45.8698,61.79,75,100,15.05
275,Pemba,MZ,2021-09-22 20:18:20,-12.974,40.5178,76.51,80,5,16.53
276,Bashtanka,UA,2021-09-22 20:18:21,47.4072,32.4387,45.91,86,100,7.2
277,Baruun-Urt,MN,2021-09-22 20:18:21,46.6806,113.2792,54.43,57,21,7.16
278,Sola,VU,2021-09-22 20:18:21,-13.8833,167.55,78.96,78,99,7.81
279,Evensk,RU,2021-09-22 20:18:22,61.95,159.2333,41.95,89,98,3.94
280,Takoradi,GH,2021-09-22 20:16:44,4.8845,-1.7554,76.96,88,100,1.25
281,San Roque,ES,2021-09-22 20:18:22,36.2107,-5.3842,68.83,83,75,13.8
282,Arraial Do Cabo,BR,2021-09-22 20:16:31,-22.9661,-42.0278,71.46,56,20,11.5
283,Tucuman,AR,2021-09-22 20:15:24,-26.8241,-65.2226,62.6,67,90,12.66
284,Esperance,AU,2021-09-22 20:18:23,-33.8667,121.9,55.24,84,0,8.25
285,Hobyo,SO,2021-09-22 20:18:23,5.3505,48.5268,77.31,89,79,23.98
